"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43204-84675","C","Mo","Mo Bamba","Bamba","17.125","44","3800","MIA@ORL","ORL","MIA","","","","",""
"43204-16081","PF","Khem","Khem Birch","Birch","14.129411585190716","34","3800","MIA@ORL","ORL","MIA","","","","",""
"43204-84700","PF","Rodions","Rodions Kurucs","Kurucs","9.246666463216146","30","3800","BKN@WAS","BKN","WAS","","","","",""
"43204-84705","PF","Omari","Omari Spellman","Spellman","17.184782608695652","46","3800","GS@CLE","GS","CLE","","","","",""
"43204-110318","PF","Grant","Grant Williams","Williams","9.882222493489584","45","3800","PHI@BOS","BOS","PHI","","","","",""
"43204-40208","PG","Raul","Raul Neto","Neto","8.85","40","3800","PHI@BOS","PHI","BOS","","","","",""
"43204-110354","PF","Nicolas","Nicolas Claxton","Claxton","11.114286150251116","14","3800","BKN@WAS","BKN","WAS","","","","",""
"43204-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","17.08085080410572","47","3800","LAL@SAC","LAL","SAC","","","","",""
"43204-9495","PG","J.J.","J.J. Barea","Barea","16.979999796549478","15","3800","ATL@DAL","DAL","ATL","","","","",""
"43204-11074","SG","Garrett","Garrett Temple","Temple","20.50238037109375","42","3800","BKN@WAS","BKN","WAS","","","","",""
"43204-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","16.475999755859377","25","3800","MIA@ORL","ORL","MIA","","","","",""
"43204-66968","SF","Derrick","Derrick Jones","Jones","18.99090946081913","33","3800","MIA@ORL","MIA","ORL","","","","",""
"43204-80819","PF","Harry","Harry Giles","Giles","11.649999445134943","22","3800","LAL@SAC","SAC","LAL","","","","",""
"43204-18435","SF","Alfonzo","Alfonzo McKinnie","McKinnie","9.767647238338695","34","3700","GS@CLE","CLE","GS","","","","",""
"43204-58461","PF","Trey","Trey Lyles","Lyles","14.49148884225399","47","3700","CHA@SA","SA","CHA","","","","",""
"43204-117913","C","Anzejs","Anzejs Pasecniks","Pasecniks","16.278946725945723","19","3700","BKN@WAS","WAS","BKN","","","","",""
"43204-49336","SG","DeAndre'","DeAndre' Bembry","Bembry","16.62558196311773","43","3700","ATL@DAL","ATL","DAL","O","Hand","","",""
"43204-15582","PG","Quinn","Quinn Cook","Cook","8.932257867628529","31","3700","LAL@SAC","LAL","SAC","","","","",""
"43204-84718","PF","Alize","Alize Johnson","Johnson","3.4545454545454546","11","3700","NY@IND","IND","NY","","","","",""
"43204-85241","PF","Johnathan","Johnathan Williams","Williams","11.259999847412109","10","3700","BKN@WAS","WAS","BKN","","","","",""
"43204-110328","SF","Admiral","Admiral Schofield","Schofield","6.56923088660607","26","3700","BKN@WAS","WAS","BKN","","","","",""
"43204-110351","SG","Cody","Cody Martin","Martin","11.017647238338695","34","3700","CHA@SA","CHA","SA","","","","",""
"43204-110883","PF","Dean","Dean Wade","Wade","5.277777777777778","9","3700","GS@CLE","CLE","GS","","","","",""
"43204-48940","SF","Wes","Wes Iwundu","Iwundu","12.102941176470589","34","3700","MIA@ORL","ORL","MIA","","","","",""
"43204-19781","SF","Kent","Kent Bazemore","Bazemore","18.358333587646484","48","3700","LAL@SAC","SAC","LAL","","","","",""
"43204-9575","PG","Mike","Mike Conley","Conley","22.807141985212052","28","3700","UTA@POR","UTA","POR","","","","",""
"43204-9636","SF","Wilson","Wilson Chandler","Chandler","15.394736842105264","19","3700","BKN@WAS","BKN","WAS","","","","",""
"43204-23981","PG","Alex","Alex Caruso","Caruso","13.472726995294744","44","3700","LAL@SAC","LAL","SAC","GTD","Neck","","",""
"43204-42550","PF","Jabari","Jabari Parker","Parker","28.350000381469727","32","3600","ATL@DAL","ATL","DAL","O","Shoulder","","",""
"43204-111671","PG","Ky","Ky Bowman","Bowman","16.629729399809968","37","3600","GS@CLE","GS","CLE","","","","",""
"43204-15952","PF","John","John Henson","Henson","15.430769700270433","26","3600","GS@CLE","CLE","GS","","","","",""
"43204-9809","SF","Nicolas","Nicolas Batum","Batum","15.954545454545455","22","3600","CHA@SA","CHA","SA","","","","",""
"43204-23155","SG","Naz","Naz Mitrou-Long","Mitrou-Long","11.90000025431315","3","3600","NY@IND","IND","NY","GTD","Ankle","","",""
"43204-23676","SG","Damyean","Damyean Dotson","Dotson","11.947618756975446","42","3600","NY@IND","NY","IND","","","","",""
"43204-14505","C","Bismack","Bismack Biyombo","Biyombo","18.00930289335029","43","3600","CHA@SA","CHA","SA","","","","",""
"43204-70824","C","Ante","Ante Zizic","Zizic","10.28125","16","3600","GS@CLE","CLE","GS","GTD","Illness","","",""
"43204-42156","C","Bobby","Bobby Portis","Portis","19.406122947225764","49","3600","NY@IND","NY","IND","","","","",""
"43204-9451","PF","Marvin","Marvin Williams","Williams","14.374358348357372","39","3600","CHA@SA","CHA","SA","","","","",""
"43204-23788","SG","Bryn","Bryn Forbes","Forbes","16.96595796625665","47","3600","CHA@SA","SA","CHA","","","","",""
"43204-84722","SF","Isaac","Isaac Bonga","Bonga","12.319048200334821","42","3600","BKN@WAS","WAS","BKN","","","","",""
"43204-97018","PG","Chris","Chris Chiozza","Chiozza","10.200000127156576","12","3600","BKN@WAS","BKN","WAS","","","","",""
"43204-63826","C","Boban","Boban Marjanovic","Marjanovic","12.354166666666666","24","3600","ATL@DAL","DAL","ATL","","","","",""
"43204-58289","SG","Kadeem","Kadeem Allen","Allen","10.233333163791233","9","3600","NY@IND","NY","IND","GTD","Back","","",""
"43204-111620","PG","Nigel","Nigel Williams-Goss","Williams-Goss","2.388888888888889","9","3500","UTA@POR","UTA","POR","","","","",""
"43204-96775","PF","Norvel","Norvel Pelle","Pelle","11.549999782017299","14","3500","PHI@BOS","PHI","BOS","","","","",""
"43204-111622","SG","Garrison","Garrison Mathews","Mathews","9.373333740234376","15","3500","BKN@WAS","WAS","BKN","GTD","Ankle","","",""
"43204-101387","PG","Gabe","Gabe Vincent","Vincent","0","1","3500","MIA@ORL","MIA","ORL","","","","",""
"43204-66061","SG","Dwayne","Dwayne Bacon","Bacon","12.225000169542101","36","3500","CHA@SA","CHA","SA","","","","",""
"43204-85521","SG","Theo","Theo Pinson","Pinson","9.729630081741899","27","3500","BKN@WAS","BKN","WAS","","","","",""
"43204-117275","PG","Jeremiah","Jeremiah Martin","Martin","1.2000000476837158","1","3500","BKN@WAS","BKN","WAS","","","","",""
"43204-117274","PF","Chris","Chris Silva","Silva","9.059374809265137","32","3500","MIA@ORL","MIA","ORL","","","","",""
"43204-23581","PF","Amile","Amile Jefferson","Jefferson","3.3176471485811123","17","3500","MIA@ORL","ORL","MIA","","","","",""
"43204-15904","SF","Rodney","Rodney Hood","Hood","19.447618756975448","21","3500","UTA@POR","POR","UTA","O","Achilles","","",""
"43204-117287","SF","Robert","Robert Franks","Franks","0","0","3500","CHA@SA","CHA","SA","","","","",""
"43204-117286","C","Moses","Moses Brown","Brown","3.3142858232770647","7","3500","UTA@POR","POR","UTA","","","","",""
"43204-117289","PF","Juwan","Juwan Morgan","Morgan","1.7899999618530273","10","3500","UTA@POR","UTA","POR","","","","",""
"43204-117290","SG","Charles","Charles Brown","Brown","4.474999904632568","8","3500","ATL@DAL","ATL","DAL","","","","",""
"43204-117292","PG","Matthew","Matthew Mooney","Mooney","3.8499999046325684","2","3500","GS@CLE","CLE","GS","","","","",""
"43204-12334","SG","Avery","Avery Bradley","Bradley","13.509090539180871","33","3500","LAL@SAC","LAL","SAC","","","","",""
"43204-110640","PF","Luka","Luka Samanic","Samanic","0","0","3500","CHA@SA","SA","CHA","","","","",""
"43204-117808","PF","Marques","Marques Bolden","Bolden","0","0","3500","GS@CLE","CLE","GS","","","","",""
"43204-117301","PF","Devontae","Devontae Cacok","Cacok","0","0","3500","LAL@SAC","LAL","SAC","GTD","Foot","","",""
"43204-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","15.272221883138021","18","3500","MIA@ORL","ORL","MIA","O","Knee","","",""
"43204-117307","SF","DaQuan","DaQuan Jeffries","Jeffries","1.566666603088379","3","3500","LAL@SAC","SAC","LAL","","","","",""
"43204-9787","SF","DeMarre","DeMarre Carroll","Carroll","5.913333129882813","15","3500","CHA@SA","SA","CHA","","","","",""
"43204-117306","SF","Vic","Vic Law","Law","0","2","3500","MIA@ORL","ORL","MIA","","","","",""
"43204-66109","PF","Skal","Skal Labissiere","Labissiere","16.35757538766572","33","3500","UTA@POR","POR","UTA","O","Knee","","",""
"43204-12359","SG","Evan","Evan Turner","Turner","10.01111094156901","18","3500","ATL@DAL","ATL","DAL","","","","",""
"43204-112710","C","Tacko","Tacko Fall","Fall","8","4","3500","PHI@BOS","BOS","PHI","","","","",""
"43204-12362","C","DeMarcus","DeMarcus Cousins","Cousins","37.49666748046875","30","3500","LAL@SAC","LAL","SAC","O","Knee","","",""
"43204-12365","PF","Ed","Ed Davis","Davis","8.091666539510092","24","3500","UTA@POR","UTA","POR","","","","",""
"43204-17491","SF","James","James Ennis","Ennis","12.629786714594415","47","3500","PHI@BOS","PHI","BOS","","","","",""
"43204-111702","C","Kyle","Kyle Alexander","Alexander","0","0","3500","MIA@ORL","MIA","ORL","O","Knee","","",""
"43204-115802","SF","Jaylen","Jaylen Hoard","Hoard","7.083333333333333","12","3500","UTA@POR","POR","UTA","","","","",""
"43204-117338","PF","Kenny","Kenny Wooten","Wooten","0","0","3500","NY@IND","NY","IND","GTD","Finger","","",""
"43204-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","8.345454822887074","44","3500","GS@CLE","CLE","GS","","","","",""
"43204-113267","SF","Caleb","Caleb Martin","Martin","5.1","5","3500","CHA@SA","CHA","SA","","","","",""
"43204-23156","PF","Georges","Georges Niang","Niang","9.854761759440104","42","3500","UTA@POR","UTA","POR","","","","",""
"43204-66185","PF","Caleb","Caleb Swanigan","Swanigan","5.354545593261719","11","3500","UTA@POR","POR","UTA","","","","",""
